uniqid,zip,year,month,day,sid,type,name,lat,lon,nth,distance,PRCP,SNOW,SNWD,TMAX,TMIN
1001,10451,1900,12,15,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,-39,-106
1002,10452,1900,12,15,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,-39,-106
1003,10453,1900,12,26,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,28,-11
1004,10454,1900,12,17,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,-11,-100
1005,10455,1900,12,17,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,-11,-100
1006,10456,1900,12,15,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,-39,-106
1007,10457,1900,12,19,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,89,22
1008,10458,1900,12,17,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,-11,-100
1009,10459,1900,12,16,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,-28,-78
1010,10460,1900,12,20,USC00286560,GHCND,ORANGE,40.7833,-74.2167,91,29882,0,0,,72,17
